Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/05  21:00:00,975.4549842,94.71476999,488.6414771,0,100.1506573,124.5586935,500.9063363,426.8210831,56.64669961,17.43855362,2785.333255
 01/05  22:00:00,913.6075981,94.71476999,466.613453,0,100.1506573,124.5586935,487.1496679,435.9569415,42.48502471,8.707701702,2673.944508
 01/05  23:00:00,833.188105,94.71476999,453.9311565,0,46.09303362,124.5586935,500.2796101,454.5630945,28.3233498,17.39316584,2553.044979
 01/05  24:00:00,836.7711534,94.71476999,456.5590827,0,46.09303362,124.5586935,483.0713242,460.2042718,14.1616749,8.705377447,2524.839382
 01/06  01:00:00,825.3173463,94.71476999,457.5710187,0,46.09303362,113.3127805,487.6573146,464.5988597,5.664669961,17.39378494,2512.323578
 01/06  02:00:00,824.8136062,94.71476999,457.1033575,0,46.09303362,113.3127805,482.7013006,468.3310322,5.664669961,8.705598489,2501.440149
 01/06  03:00:00,827.4076049,94.71476999,459.7000531,0,46.09303362,113.3127805,495.486838,472.4280725,5.664669961,17.39409562,2532.201918
 01/06  04:00:00,825.9430406,94.71476999,458.2663995,0,46.09303362,113.3127805,490.9989012,476.6284289,5.664669961,8.705802379,2520.327827
 01/06  05:00:00,918.6779225,94.71476999,458.0845385,0,100.1506573,148.9693994,482.4858733,459.4293238,5.664669961,17.39187955,2685.569034
 01/06  06:00:00,920.2936357,95.18759783,458.5079404,0,100.1506573,149.8943994,707.7757657,684.9080759,14.1616749,8.706014951,3139.585762
 01/06  07:00:00,1150.246166,97.10408184,458.6561636,0,176.4710373,302.6124365,544.5501877,498.8344198,28.3233498,17.39241811,3274.190261
 01/06  08:00:00,1257.868465,98.75791106,457.7355991,0,243.2593065,310.1097119,517.7594204,457.7320176,42.48502471,17.54237803,3403.249835
 01/06  09:00:00,1299.207337,99.3393357,457.3557694,0,243.2593065,310.1097119,531.3549086,439.4746739,56.64669961,35.2335351,3471.981278
 01/06  10:00:00,1335.123348,99.76051674,459.5684001,0,243.2593065,302.6124365,500.6583373,431.6440478,42.48502471,26.52926481,3441.640682
 01/06  11:00:00,1360.923779,100.1596323,477.3055439,0,243.2593065,310.1097119,521.4041563,415.0425498,70.80837451,35.55323202,3534.566286
 01/06  12:00:00,1370.65417,100.5330235,484.7641784,0,243.2593065,310.1097119,507.4439873,401.0107381,70.80837451,35.62487469,3524.208365
 01/06  13:00:00,1335.754019,100.7250975,490.7816672,0,243.2593065,310.1097119,507.1392391,400.8824594,70.80837451,35.44840518,3494.90828
 01/06  14:00:00,1371.307963,100.9975485,492.7330774,0,243.2593065,302.6124365,494.5529275,393.3772773,56.64669961,44.52895057,3500.016187
 01/06  15:00:00,1373.635987,101.1820731,494.1740727,0,243.2593065,302.6124365,471.0143528,392.9920852,42.48502471,35.5372428,3456.892582
