Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/06  03:00:00,576.8465637,94.81857558,112.5316605,0,46.09303362,113.3127805,784.5599978,752.6284704,5.664669961,26.26685739,2512.722609
 01/06  04:00:00,583.8263668,94.81857558,118.7969966,0,46.09303362,113.3127805,776.6197354,753.4373447,5.664669961,17.51772075,2510.087224
 01/06  05:00:00,679.5776798,94.81857558,122.8513782,0,100.1506573,148.9693994,754.5446143,731.3613648,5.664669961,17.51857949,2655.456919
 01/06  06:00:00,683.4573306,95.39251969,123.6049201,0,100.1506573,149.8943994,1120.503998,1080.072531,14.1616749,26.26979142,3393.507822
 01/06  07:00:00,907.1707235,96.49749922,123.424212,0,176.4710373,302.6124365,777.3160576,731.4732779,28.3233498,17.51942986,3160.808024
 01/06  08:00:00,1032.156745,97.89190506,123.650253,0,243.2593065,310.1097119,746.7286538,668.7267055,42.48502471,35.51692367,3300.525229
 01/06  09:00:00,1080.664176,98.39308226,124.6494983,0,243.2593065,310.1097119,752.5882063,651.2136035,56.64669961,44.72790321,3362.252188
 01/06  10:00:00,1123.219484,98.75593447,131.8724839,0,243.2593065,302.6124365,720.603812,633.1266855,42.48502471,44.99210183,3340.927269
 01/06  11:00:00,1122.747451,99.0652348,136.2808109,0,243.2593065,310.1097119,749.1061642,614.7559805,70.80837451,63.54180923,3409.674843
 01/06  12:00:00,1121.015465,99.34924314,136.6064901,0,243.2593065,310.1097119,738.7222685,604.1963749,70.80837451,63.71751917,3387.784753
 01/06  13:00:00,1082.710594,99.59660875,137.1444378,0,243.2593065,310.1097119,712.5212459,596.5579539,70.80837451,45.15491747,3297.863151
 01/06  14:00:00,1116.232608,99.82311325,137.3220065,0,243.2593065,302.6124365,712.1691152,591.7910747,56.64669961,63.73134088,3323.587702
 01/06  15:00:00,1119.015516,100.0295518,137.6474675,0,243.2593065,302.6124365,685.1149679,588.1695488,42.48502471,54.46039446,3272.794214
 01/06  16:00:00,1103.21888,100.2102451,118.1066123,0,243.2593065,302.6124365,740.5982867,622.5667138,56.64669961,61.38487337,3348.604054
 01/06  17:00:00,1114.951878,100.4251109,112.4546934,0,243.2593065,310.1097119,753.0016393,621.1834478,84.97004941,46.84814217,3387.203979
 01/06  18:00:00,1114.570816,100.6880014,109.6716946,0,243.2593065,310.1097119,729.8013716,618.3137068,84.97004941,26.51761537,3337.902274
 01/06  19:00:00,842.1305224,94.81857558,105.1663897,0,166.9389264,199.1109338,829.78313,718.4309021,84.97004941,26.38217842,3067.731608
 01/06  20:00:00,835.1991626,94.81857558,104.819825,0,166.9389264,191.6136585,800.858688,717.8315421,56.64669961,26.38044631,2995.107524
 01/06  21:00:00,701.0240709,94.81857558,104.601984,0,100.1506573,124.5586935,835.7343726,752.7074864,56.64669961,26.38018654,2796.622726
 01/06  22:00:00,661.5433907,94.81857558,104.4886738,0,100.1506573,124.5586935,813.4094886,753.3971385,42.48502471,17.5273254,2712.378968
 01/06  23:00:00,590.3540242,94.81857558,98.60325014,0,46.09303362,124.5586935,837.1344487,782.542903,28.3233498,26.26819583,2628.696474
 01/06  24:00:00,588.195758,94.81857558,95.03156092,0,46.09303362,124.5586935,824.8760803,793.1945906,14.1616749,17.51981473,2598.449782
 01/07  01:00:00,575.6859015,94.81857558,94.82336666,0,46.09303362,113.3127805,817.7554593,794.5718472,5.664669961,17.5189421,2560.244576
 01/07  02:00:00,576.1749067,94.81857558,94.62340153,0,46.09303362,113.3127805,829.6959509,797.7646125,5.664669961,26.26666839,2584.4146
